Family,Species,legsExposed,Angle,Background,webURL,isMimic,Photographer
Hylidae,D_versicolor,TRUE,NA,Tree,images/Dversicolor_001.jpg,TRUE,Sheila Brown
Hylidae,D_versicolor,FALSE,NA,Ground,images/Dversicolor_002.jpg,TRUE,Peter Paplanus
Hylidae,D_versicolor,TRUE,NA,Artificial,images/Dversicolor_003.jpg,TRUE,Fredlyfish4
Hylidae,D_versicolor,TRUE,NA,Tree,images/Dversicolor_004.jpg,TRUE,Geoff Gallice
Hylidae,D_versicolor,TRUE,NA,Artificial,images/Dversicolor_005.jpg,TRUE,Judy Gallagher
Hylidae,D_versicolor,TRUE,NA,Tree,images/Dversicolor_006.jpg,TRUE,Wilafa
Hylidae,D_versicolor,FALSE,NA,Artificial,images/Dversicolor_007.jpg,TRUE,Fredlyfish4
Hylidae,D_versicolor,FALSE,NA,Ground,images/Dversicolor_008.jpg,TRUE,Richard Crook
Hylidae,D_versicolor,FALSE,NA,Tree,images/Dversicolor_009.jpg,TRUE,Agape Yojimbo
Hylidae,D_versicolor,FALSE,NA,Tree,images/Dversicolor_010.jpg,TRUE,Patrick Coin
Hylidae,D_versicolor,TRUE,NA,Tree,images/Dversicolor_011.jpeg,TRUE,Nathalie Jreidini
Hylidae,D_versicolor,FALSE,NA,Water,images/Dversicolor_012.jpeg,TRUE,Nathalie Jreidini
Ranidae,L_clamitans,TRUE,NA,Water,images/Lclamitans_001.jpg,FALSE,Ryan Hodnett
Ranidae,L_clamitans,TRUE,NA,Water,images/Lclamitans_002.jpg,FALSE,Judy Gallagher
Ranidae,L_clamitans,FALSE,NA,Ground,images/Lclamitans_003.jpg,FALSE,Mark Nenadov
Ranidae,L_clamitans,TRUE,NA,Water,images/Lclamitans_004.jpg,FALSE,Ryan Hodnett
Ranidae,L_clamitans,TRUE,NA,Ground,images/Lclamitans_005.jpg,FALSE,Contrabaroness
Ranidae,L_clamitans,FALSE,NA,Ground,images/Lclamitans_006.jpg,FALSE,Mark Nenadov
Ranidae,L_clamitans,TRUE,NA,Ground,images/Lclamitans_007.jpg,FALSE,Derek Ramsey
Ranidae,L_clamitans,FALSE,NA,Ground,images/Lclamitans_008.jpeg,FALSE,Kathy Hofmeyer Woughter
Ranidae,L_clamitans,FALSE,NA,Ground,images/Lclamitans_009.jpeg,FALSE,Steven Lamonde
Ranidae,L_clamitans,FALSE,NA,Artificial,images/Lclamitans_010.jpeg,FALSE,Kalvin Chan
Ranidae,L_palustris,TRUE,NA,Ground,images/Lpalustris_001.jpg,TRUE,Peter Paplanus
Ranidae,L_palustris,FALSE,NA,Ground,images/Lpalustris_002.jpg,TRUE,Judy Gallagher
Ranidae,L_palustris,FALSE,NA,Ground,images/Lpalustris_003.jpg,TRUE,Paul Cooper
Ranidae,L_palustris,TRUE,NA,Ground,images/Lpalustris_004.jpg,TRUE,Brandon Preston
Ranidae,L_palustris,TRUE,NA,Ground,images/Lpalustris_005.jpg,TRUE,mayfly1963
Ranidae,L_palustris,TRUE,NA,Artificial,images/Lpalustris_006.jpeg,TRUE,Eric Guerra-Grenier
Ranidae,L_palustris,TRUE,NA,Water,images/Lpalustris_007.jpeg,TRUE,botanygirl
