Photographer,URL
Agape Yojimbo,https://commons.wikimedia.org/wiki/File:Green-Treefrog-North-American-Gray-Species-5.JPG
Ali Campbell,https://www.inaturalist.org/observations/77850189
Andy Reago & Chrissy McClarren,https://www.flickr.com/photos/wildreturn/32526283337
Ashwin Srinivasan,https://www.inaturalist.org/observations/53798219
Bernell,https://pixabay.com/photos/northern-leopard-frog-1541635/
botanygirl,https://www.inaturalist.org/observations/40335773
Brandon Preston,https://www.inaturalist.org/observations/70768812
Brian Gratwicke,https://commons.wikimedia.org/wiki/File:Spring_Peeper_I.jpg
Brian Gratwicke,https://www.flickr.com/photos/briangratwicke/5898747773
christine123,https://www.inaturalist.org/observations/78651221
Contrabaroness,"https://commons.wikimedia.org/wiki/File:Male_Green_Frog_-_Hunterdon_County,_NJ.jpg"
Dan MacNeal,https://www.inaturalist.org/observations/73764408
Dan MacNeal,https://www.inaturalist.org/observations/7761163
David McCorquodale,https://www.inaturalist.org/observations/58528208
David McCorquodale,https://www.inaturalist.org/observations/84582795
Dean Stavrides,https://www.inaturalist.org/observations/85953945
Derek Ramsey,https://commons.wikimedia.org/wiki/File:Green_Frog_Rana_clamitans_2448px.jpg
er-birds,https://www.inaturalist.org/observations/85927127
Eric Guerra-Grenier,https://www.inaturalist.org/observations/79171923
Eric Guerra-Grenier,https://www.inaturalist.org/observations/79172568
Eric Guerra-Grenier,https://www.inaturalist.org/observations/80475392
Esben Kjaer,https://www.inaturalist.org/observations/83132119
Evan Grimes,https://www.inaturalist.org/observations/72017951
Fredlyfish4,https://commons.wikimedia.org/wiki/File:Hyla_chrysoscelis_UMFS_2016_1.jpg
Fredlyfish4,https://commons.wikimedia.org/wiki/File:Hyla_chrysoscelis_UMFS_2016_5.jpg
Geoff Gallice,https://www.flickr.com/photos/11014423@N07/7358459928
georectified - Sean,https://www.inaturalist.org/observations/86946769
houstonsullivan,https://www.inaturalist.org/observations/80265893
Jacob Saucier,https://www.inaturalist.org/observations/81126442
Judy Gallagher,"https://commons.wikimedia.org/wiki/File:Gray_Tree_Frog_-_Hyla_versicolor_or_chrysoscelis_and_Gary,_Occoquan_Bay_National_Wildlife_Refuge,_Woodbridge,_Virginia_(37503327391).jpg"
Judy Gallagher,"https://commons.wikimedia.org/wiki/File:Pickerel_Frog_-_Rana_palustris,_Leesylvania_State_Park,_Woodbridge,_Virginia.jpg"
Judy Gallagher,https://www.flickr.com/photos/52450054@N04/23417537914
Kalvin Chan,https://www.inaturalist.org/observations/83938185
Kathy Hofmeyer Woughter,https://www.inaturalist.org/observations/86615593
Kevin Enge,https://www.flickr.com/photos/myfwc/14995946531
Laura Costello,https://www.inaturalist.org/observations/6918228
Laura Gaudette,https://www.inaturalist.org/observations/3880870
Lisa Levine,https://www.inaturalist.org/observations/41855985
Marilynn Miller,https://www.inaturalist.org/observations/74313225
Mark Nenadov,https://commons.wikimedia.org/wiki/File:Northern_Green_Frog_(Lithobates_clamitans_melanota)_(29760682146).jpg
Mark Nenadov,https://www.flickr.com/photos/marknenadov/24783424796/
mayfly1963,https://www.inaturalist.org/observations/7989045
Nathalie Jreidini,NA
Nathalie Jreidini,NA
Nathalie Jreidini,NA
Nathalie Jreidini,NA
Nathalie Jreidini,NA
Nick Block,https://www.inaturalist.org/observations/4098177
Patrick Coin,https://commons.wikimedia.org/wiki/File:Hyla_chrysoscelisPCCA20060401-2867B.jpg
Patrick Hanly,https://www.inaturalist.org/observations/79418940
Paul Cooper,https://www.flickr.com/photos/29261037@N02/48294546322
Peter Paplanus,https://commons.wikimedia.org/wiki/File:Gray_Tree_Frog_(Hyla_versicolor)_(8716723960).jpg
Peter Paplanus,https://commons.wikimedia.org/wiki/File:Pickerel_Frog_(Rana_palustris)_(26752825317).jpg
Peter Paplanus,https://www.flickr.com/photos/2ndpeter/25234151669
Peter Paplanus,https://www.flickr.com/photos/2ndpeter/51020821926
Richard Crook,https://www.flickr.com/photos/richardwc/34378118453
Ryan Hodnett,"https://commons.wikimedia.org/wiki/File:Green_Frog_(Lithobates_clamitans)_-_Guelph,_Ontario_01.jpg"
Ryan Hodnett,"https://commons.wikimedia.org/wiki/File:Green_Frog_(Lithobates_clamitans)_-_Kitchener,_Ontario_02.jpg"
Ryan Hodnett,"https://commons.wikimedia.org/wiki/File:Northern_Leopard_Frog_(Lithobates_pipiens)_-_Kitchener,_Ontario.jpg"
Ryan Hodnett,"https://commons.wikimedia.org/wiki/File:Northern_Leopard_Frog_(Lithobates_pipiens)_-_Waterloo,_Ontario_02.jpg"
Sheila Brown,https://www.publicdomainpictures.net/en/view-image.php?image=303271&picture=gray-tree-frog-climbing-tree
Sheila Collins Bourgoin,https://www.inaturalist.org/observations/81962076
Steven Lamonde,https://www.inaturalist.org/observations/86290352
Wilafa,https://commons.wikimedia.org/wiki/File:Gray_Treefrog_(Hyla_versicolor)_Montgomery_Co._Texas._photo_by_W._L._Farr.jpg
Will Brown,https://www.flickr.com/photos/37428634@N04/30223123828
